company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
1,2011,+,-,+,Mixed
1,2012,+,-,+,Mixed
1,2013,+,-,+,Mixed
1,2014,+,-,+,Mixed
1,2015,+,-,+,Mixed
1,2016,+,-,+,Mixed
1,2017,+,-,+,Mixed
1,2018,+,-,+,Mixed
1,2019,+,-,+,Mixed
1,2020,+,-,+,Mixed
1,2021,+,-,+,Mixed
1,2022,+,-,+,Mixed
1,2023,+,-,+,Mixed
1,2024,+,-,+,Mixed
2,2011,+,-,+,Mixed
2,2012,+,-,+,Mixed
2,2013,+,-,+,Mixed
2,2014,+,-,+,Mixed
2,2015,+,-,+,Mixed
2,2016,+,-,+,Mixed
2,2017,+,-,+,Mixed
2,2018,+,-,+,Mixed
2,2019,+,-,+,Mixed
2,2020,+,-,+,Mixed
2,2021,+,-,+,Mixed
2,2022,+,-,+,Mixed
2,2023,+,-,+,Mixed
2,2024,+,-,+,Mixed
3,2011,+,-,-,Reinvestor
3,2012,+,-,-,Reinvestor
3,2013,+,-,-,Reinvestor
3,2014,+,-,-,Reinvestor
3,2015,+,-,-,Reinvestor
3,2016,+,-,-,Reinvestor
3,2017,+,-,-,Reinvestor
3,2018,+,-,-,Reinvestor
3,2019,+,-,-,Reinvestor
3,2020,+,-,-,Reinvestor
3,2021,+,-,-,Reinvestor
3,2022,+,-,-,Reinvestor
3,2023,+,-,-,Reinvestor
3,2024,+,-,-,Reinvestor
4,2011,+,-,+,Mixed
4,2012,+,-,+,Mixed
4,2013,+,-,+,Mixed
4,2014,+,-,+,Mixed
4,2015,+,-,+,Mixed
4,2016,+,-,+,Mixed
4,2017,+,-,+,Mixed
4,2018,+,-,+,Mixed
4,2019,+,-,+,Mixed
4,2020,+,-,+,Mixed
4,2021,+,-,+,Mixed
4,2022,+,-,+,Mixed
4,2023,+,-,+,Mixed
4,2024,+,-,+,Mixed
5,2011,+,-,+,Mixed
5,2012,+,-,+,Mixed
5,2013,+,-,+,Mixed
5,2014,+,-,+,Mixed
5,2015,+,-,+,Mixed
5,2016,+,-,+,Mixed
5,2017,+,-,+,Mixed
5,2018,+,-,+,Mixed
5,2019,+,-,+,Mixed
5,2020,+,-,+,Mixed
5,2021,+,-,+,Mixed
5,2022,+,-,+,Mixed
5,2023,+,-,+,Mixed
5,2024,+,-,+,Mixed
6,2011,+,-,-,Reinvestor
6,2012,+,-,-,Reinvestor
6,2013,+,-,-,Reinvestor
6,2014,+,-,-,Reinvestor
6,2015,+,-,-,Reinvestor
6,2016,+,-,-,Reinvestor
6,2017,+,-,-,Reinvestor
6,2018,+,-,-,Reinvestor
6,2019,+,-,-,Reinvestor
