metric,P10,P25,P50,P75,P90,Mean,Std
company_id,10.1,23.75,46.5,69.25,82.9,46.5,26.70205984563738
financial_ratio_id,141.4,332.5,651.0,969.5,1160.6000000000001,651.0,373.8288378389233
company_id,10.1,23.75,46.5,69.25,82.9,46.5,26.70205984563738
year,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,0.0
net_profit_margin_pct,6.24,6.835,7.92,9.12,9.789000000000001,7.971413043478259,1.3189644468808437
operating_profit_margin_pct,12.1,14.0,16.0,18.0,19.900000000000006,15.945652173913043,2.594855986750179
return_on_equity_pct,7.449000000000001,8.192499999999999,9.355,11.112499999999999,11.966000000000001,9.600217391304348,1.6753303615566573
return_on_capital_employed_pct,12.952,14.47,16.805,19.3125,20.967,16.924456521739128,3.0582525226989286
return_on_assets_pct,5.5,6.1775,7.18,8.27,9.18,7.266304347826088,1.3720696786452982
debt_to_equity,0.09,0.11,0.13,0.16,0.19,0.13673913043478264,0.03894512046491519
high_leverage_flag,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interest_coverage,11.106,14.22,17.47,23.085,29.078000000000003,19.09163043478261,6.756674726255969
icr_warning_flag,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_debt,20.0,23.0,29.0,35.0,38.0,28.934782608695652,6.032520563398528
asset_turnover,0.8,0.86,0.92,0.97,1.01,0.9116304347826084,0.08217212133737097
free_cash_flow_cr,5.226,8.212499999999999,12.095,16.82,21.88800000000001,12.78630434782609,6.753561488983082
capex_cr,4.656,6.0525,8.985,12.2875,15.010000000000003,9.415000000000001,4.005043935224298
earnings_per_share,1.383936,1.7136000000000002,2.024895,2.496,2.8937520000000005,2.1078092391304355,0.5653027815585876
book_value_per_share,16.415,18.4625,21.875,25.2875,27.335,21.875,4.0053089768456065
dividend_payout_ratio_pct,25.0,25.0,25.0,25.0,25.0,25.0,0.0
total_debt_cr,20.0,23.0,29.0,35.0,38.0,28.934782608695652,6.032520563398528
cash_from_operations_cr,13.937273999999999,16.69635,21.231180000000002,26.685067500000002,32.43520800000001,22.20100641304348,7.460080651463034
revenue_cagr_3yr,1.522,1.8050000000000002,2.175,2.6525,3.1350000000000002,2.2564130434782608,0.6120934740110363
revenue_cagr_5yr,1.542,1.835,2.225,2.7225,3.245,2.3157608695652177,0.644885599694815
pat_cagr_5yr,1.542,1.835,2.225,2.7225,3.245,2.3157608695652177,0.644885599694815
eps_cagr_5yr,1.542,1.835,2.225,2.7225,3.245,2.3157608695652177,0.644885599694815
cfo_quality_score,0.8,0.9,1.0,1.2000000000000002,1.3,1.047826086956522,0.17063440828277965
fcf_conversion_rate,13.372,22.515,28.29,38.3525,46.286,29.793369565217393,11.969608059276206
composite_quality_score,6.31364,7.031675,8.0983,9.15835,9.85336,8.086595652173912,1.2912472661726997
revenue_cr,191.1,219.75,263.5,310.25,335.9,264.5,55.248787963434744
fcf_cagr_5yr,5.226,8.212499999999999,12.095,16.82,21.88800000000001,12.78630434782609,6.753561488983082
